Nombre;PrimerApellido;SegundoApellido;RUT;Genero;FechaNacimiento;Correo;Numero;Region;Comuna
Miguel;Perez;Ramos;10556177-2;Femenino;"""01-04-1996""";miguel.perez@example.com;9827161851;Antofagasta;Antofagasta
Miguel;Garcia;Torres;29764040-2;Masculino;"""13-06-1993""";miguel.garcia@example.com;9140002464;Coquimbo;Illapel
Luis;Gomez;Suarez;20195841-1;Masculino;"""03-07-1964""";luis.gomez@example.com;9101752440;Magallanes;Primavera
Juan;Perez;Ortiz;18819520-0;Masculino;"""25-05-1995""";juan.perez@example.com;9188816168;Arica y Parinacota;Camarones
Carlos;Gomez;Suarez;27129665-4;Femenino;"""22-03-1983""";carlos.gomez@example.com;9382024589;Coquimbo;Illapel
Juan;Vega;Castro;16437289-0;Femenino;"""07-06-1984""";juan.vega@example.com;9347869337;Coquimbo;Coquimbo
Luis;Garcia;Hernandez;17910429-0;Masculino;"""14-07-1968""";luis.garcia@example.com;9944562422;Los Lagos;Ancud
Carlos;Vega;Ortiz;13734577-7;Femenino;"""01-05-1986""";carlos.vega@example.com;9909864384;Aysen;Puerto Aysen
Carlos;Morales;Ramirez;23509627-6;Masculino;"""04-04-1991""";carlos.morales@example.com;9189247753;Aysen;Tortel
Miguel;Martinez;Suarez;22935400-6;Masculino;"""27-03-1972""";miguel.martinez@example.com;9428921796;Metropolitana;Las Condes
Pedro;Lopez;Ramos;19585402-1;Femenino;"""13-01-1977""";pedro.lopez@example.com;9613157294;Maule;Parral
Carlos;Perez;Ramirez;15488926-9;Femenino;"""12-02-1986""";carlos.perez@example.com;9537465815;Aysen;Cochrane
Carlos;Perez;Torres;11817850-4;Masculino;"""17-02-1987""";carlos.perez@example.com;9950421701;Atacama;Copiapo
Pedro;Diaz;Hernandez;28611440-2;Femenino;"""23-09-1983""";pedro.diaz@example.com;9596036441;Tarapaca;Huara
Laura;Morales;Ortiz;12335312-4;Masculino;"""13-11-1999""";laura.morales@example.com;9824392357;Atacama;Diego de Almagro
Sofia;Sanchez;Mendoza;29047661-4;Masculino;"""19-11-1976""";sofia.sanchez@example.com;9401588281;Biobio;Los Angeles
Ana;Lopez;Suarez;27370747-3;Femenino;"""05-07-1968""";ana.lopez@example.com;9981409788;Arica y Parinacota;General Lagos
Pedro;Lopez;Ramirez;20263503-0;Masculino;"""14-10-1992""";pedro.lopez@example.com;9316287352;OHiggins;Rancagua
Ana;Martinez;Rodriguez;15501594-9;Masculino;"""26-10-1995""";ana.martinez@example.com;9910629029;Metropolitana;Puente Alto
Elena;Sanchez;Hernandez;23571837-5;Femenino;"""17-06-1976""";elena.sanchez@example.com;9753647551;Los Lagos;Ancud
Maria;Martinez;Ramos;28247745-4;Masculino;"""17-10-1993""";maria.martinez@example.com;9152057281;Metropolitana;Las Condes
Laura;Vega;Ortiz;25023750-1;Femenino;"""07-02-1968""";laura.vega@example.com;9390850314;Los Rios;Valdivia
Sofia;Fernandez;Castro;14808916-5;Masculino;"""03-03-1979""";sofia.fernandez@example.com;9583535274;Los Rios;Valdivia
Maria;Morales;Mendoza;20701557-3;Femenino;"""04-01-1977""";maria.morales@example.com;9897384833;Atacama;Tierra Amarilla
Elena;Sanchez;Suarez;26759573-3;Femenino;"""19-09-1975""";elena.sanchez@example.com;9972325592;Maule;Cauquenes
Carlos;Diaz;Hernandez;22030549-4;Masculino;"""08-07-2004""";carlos.diaz@example.com;9390733355;Biobio;Concepcion
Carlos;Martinez;Suarez;19684826-7;Masculino;"""04-04-1974""";carlos.martinez@example.com;9994093006;Nuble;Chillan
